DapipId,AgencyId,AgencyName,ProgramId,ProgramName,SequentialId,ActionDescription,ActionDate,JustificationDescription,JustificationOther,EndDate
"100502","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Accreditation Reaffirmed: Probation Removed","3/12/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"101745","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Probation or Equivalent or a More Severe Status: Probation","5/14/2018 12:00:00 AM","Significantly out of compliance - student achievement","",""
"112172","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"113139","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"114071","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Additional oversight is required to ensure a resolution of compliance issues","",""
"115092","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","11/13/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"122445","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","7/27/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"123855","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"124618","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Probation or Equivalent or a More Severe Status: Probation","5/14/2018 12:00:00 AM","Significantly out of compliance - student achievement","",""
"128629","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Grant Substantive Change: Other","3/12/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"130253","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/26/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"133872","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Grant Substantive Change: Degree","6/11/2018 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"134583","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Renewal of Accreditation","1/27/2017 12:00:00 AM","Is in compliance with all of the agency's accreditation standards","",""
"136507","27","Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics","23","Dietetics (DIET) - Coordinated Program in Dietetics","1","Loss of Accreditation or Preaccreditation: Voluntary Withdrawal","12/10/2018 12:00:00 AM","Other - Provide unlisted or multiple justifications","Program's Teach out plan accepted",""
