county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01001,36701,0.000035660,0.000000000,0.000000000,0.000032684
01001,36051,0.030774168,0.013235294,0.015594542,0.029350242
01001,36006,0.017508826,0.004411765,0.009746589,0.016505426
01001,36003,0.034661056,0.016176471,0.033138402,0.033403059
01001,36022,0.080269586,0.012254902,0.013645224,0.074617597
01001,36758,0.005848162,0.000980392,0.000000000,0.005425546
01001,36091,0.007916414,0.001470588,0.000000000,0.007353902
01001,36008,0.000962807,0.001960784,0.000000000,0.001013204
01001,36067,0.458545805,0.485294118,0.335282651,0.458262518
01001,36068,0.046927932,0.193137255,0.003898635,0.055955027
01001,36749,0.014442107,0.001960784,0.013645224,0.013596549
01001,36703,0.004421781,0.004901961,0.000000000,0.004379657
01001,36066,0.297685697,0.264215686,0.575048733,0.300104589
01003,36579,0.006006369,0.002109349,0.004498978,0.005684568
01003,36502,0.000860084,0.000590618,0.000000000,0.000825908
01003,36507,0.067278440,0.061677354,0.089979550,0.067208238
01003,36511,0.005608314,0.004387445,0.002453988,0.005465186
01003,36532,0.119516079,0.128332771,0.143967280,0.120576071
01003,36550,0.000909840,0.000337496,0.000000000,0.000851717
01003,36576,0.015474397,0.002193723,0.022903885,0.014575980
01003,36551,0.029008274,0.018562268,0.022085890,0.028100219
01003,36547,0.052529072,0.053155586,0.000817996,0.051761184
01003,36480,0.000042649,0.000000000,0.000000000,0.000038714
01003,36535,0.118229507,0.153813702,0.140286299,0.121298740
01003,36542,0.105683660,0.063702329,0.124335378,0.102767436
01003,36567,0.043643911,0.036196423,0.070756646,0.043502107
01003,36561,0.113431520,0.087580155,0.108384458,0.111374943
01003,36562,0.005352421,0.001349983,0.009815951,0.005116756
01003,36574,0.005942396,0.002024975,0.006952965,0.005658758
01003,36578,0.010427625,0.006074924,0.000408998,0.009936702
01003,36536,0.010918086,0.025059062,0.000817996,0.011840161
01003,36555,0.004179580,0.000843739,0.004089980,0.003923062
01003,36559,0.005828666,0.011052987,0.000408998,0.006142688
01003,36526,0.120575190,0.159804252,0.116564417,0.123511914
01003,36527,0.049806659,0.055771178,0.072392638,0.050619108
01003,36530,0.036286998,0.016621667,0.026993865,0.034636504
01003,36580,0.027572432,0.024721566,0.028220859,0.027364645
01003,36549,0.022838418,0.004978063,0.000817996,0.021125170
01003,36564,0.008131699,0.007846777,0.000408998,0.007988076
01003,36577,0.004684257,0.022612217,0.000817996,0.005994283
01003,36533,0.009233459,0.048599393,0.000817996,0.012111162
01005,36072,0.081355283,0.150780829,0.005128205,0.086891010
01005,36317,0.001467586,0.000538503,0.000000000,0.001339360
01005,36374,0.004530373,0.002692515,0.000000000,0.004241308
01005,36017,0.082567637,0.069466882,0.097435897,0.081533568
01005,36053,0.031010720,0.017770598,0.007692308,0.029131090
01005,36311,0.021120470,0.005385030,0.002564103,0.019085886
01005,36016,0.130615110,0.063543349,0.343589744,0.128299570
01005,36048,0.051556917,0.012924071,0.017948718,0.046821809
01005,36027,0.595775906,0.676898223,0.525641026,0.602656398
01007,35456,0.000794992,0.000000000,0.000000000,0.000739713
01007,35074,0.000000000,0.001658375,0.000000000,0.000092464
01007,36756,0.000000000,0.001658375,0.000000000,0.000092464
01007,35035,0.081188512,0.036484245,0.033557047,0.078039760
01007,35115,0.008844281,0.001658375,0.000000000,0.008321775
01007,36793,0.019576667,0.003316750,0.053691275,0.019140083
01007,35188,0.118553115,0.225538972,0.120805369,0.124549237
01007,35034,0.144589089,0.177446103,0.248322148,0.147850208
01007,35111,0.014508596,0.003316750,0.013422819,0.013869626
01007,36750,0.003676836,0.000000000,0.000000000,0.003421174
01007,36792,0.039053960,0.009950249,0.020134228,0.037170596
01007,35042,0.302096790,0.424543947,0.348993289,0.309570042
01007,35080,0.000496870,0.000000000,0.000000000,0.000462321
01007,35184,0.266620292,0.114427861,0.161073826,0.256680536
01009,35126,0.008443822,0.005014327,0.000000000,0.008171535
01009,35957,0.009054651,0.002865330,0.005154639,0.008711801
01009,35976,0.009952930,0.002148997,0.015463918,0.009657268
01009,35063,0.009270238,0.003581662,0.007731959,0.008981935
01009,35133,0.067514642,0.033667622,0.041237113,0.065574878
01009,35172,0.040171032,0.024355301,0.041237113,0.039439473
01009,35097,0.028349682,0.040830946,0.012886598,0.028735438
01009,35952,0.059214545,0.073065903,0.030927835,0.059496877
01009,35980,0.025008085,0.010028653,0.007731959,0.024075637
01009,35121,0.262225576,0.519340974,0.438144330,0.276650346
01009,35031,0.139556610,0.073782235,0.100515464,0.135944623
01009,35180,0.097804606,0.078796562,0.219072165,0.098497383
01009,35079,0.157019151,0.073065903,0.061855670,0.151814959
01009,35146,0.014085013,0.001432665,0.000000000,0.013304069
01009,35013,0.000000000,0.000716332,0.000000000,0.000033767
01009,35016,0.005892710,0.001432665,0.000000000,0.005605268
01009,35049,0.066436707,0.055873926,0.018041237,0.065304744
01011,36052,0.005429864,0.004524887,0.000000000,0.005317381
01011,36029,0.081990950,0.015837104,0.019607843,0.076603523
01011,36005,0.060633484,0.038461538,0.000000000,0.058491193
01011,36031,0.000000000,0.002262443,0.000000000,0.000166168
01011,36830,0.000361991,0.000000000,0.000000000,0.000332336
01011,36860,0.004162896,0.004524887,0.000000000,0.004154204
01011,36081,0.031131222,0.011312217,0.000000000,0.029411765
01011,36053,0.131221719,0.047511312,0.117647059,0.124958458
01011,36089,0.685067873,0.875565611,0.862745098,0.700564972
01013,36456,0.062239959,0.019021739,0.035714286,0.057138693
01013,36071,0.002971894,0.000000000,0.000000000,0.002550834
01013,36032,0.028869831,0.006340580,0.323809524,0.045113330
01013,36037,0.649231553,0.878623188,0.179761905,0.638947599
01013,36015,0.000000000,0.000905797,0.000000000,0.000072881
01013,36474,0.000424556,0.000000000,0.000000000,0.000364405
01013,36033,0.198437633,0.073369565,0.459523810,0.204358283
01013,36030,0.030313323,0.018115942,0.000000000,0.027476131
01013,36042,0.027511251,0.003623188,0.001190476,0.023977844
01015,35096,0.002489676,0.000433839,0.000000000,0.002255390
01015,36206,0.085275132,0.063340564,0.080983369,0.083184080
01015,36279,0.020319931,0.005206074,0.004338395,0.018640133
01015,36260,0.020498830,0.007664497,0.004338395,0.019024876
01015,35905,0.004874994,0.002747650,0.001446132,0.004616915
01015,36207,0.156521609,0.117425886,0.199566161,0.153724710
01015,36201,0.170505538,0.283441793,0.125090383,0.180033167
01015,36203,0.127629441,0.207809111,0.198843095,0.136291874
01015,36254,0.000000000,0.000144613,0.000000000,0.000013267
01015,36272,0.073184549,0.063485177,0.053506869,0.071933665
01015,36250,0.030487350,0.025307303,0.032537961,0.030049751
01015,36257,0.006022929,0.005061461,0.000723066,0.005837479
01015,36204,0.010838290,0.013593637,0.000723066,0.010905473
01015,36271,0.049018292,0.013882863,0.010845987,0.045094527
01015,36205,0.014774066,0.012725958,0.048445409,0.015203980
01015,36277,0.039521744,0.007086045,0.015907448,0.036112769
01015,36265,0.160397752,0.079971077,0.221258134,0.154135987
01015,36253,0.000000000,0.000289226,0.000000000,0.000026534
01015,36202,0.027639877,0.090383225,0.001446132,0.032915423
01017,36855,0.048756679,0.018894332,0.024456522,0.046328959
01017,36854,0.335131525,0.361091672,0.228260870,0.335026574
01017,36276,0.009967119,0.004898530,0.000000000,0.009453930
01017,36862,0.177455816,0.191742477,0.296195652,0.180471285
01017,36879,0.016080970,0.007697691,0.008152174,0.015380274
01017,36852,0.015669955,0.014695591,0.008152174,0.015474343
01017,36274,0.016440608,0.014695591,0.008152174,0.016179860
01017,36801,0.007655158,0.001399580,0.002717391,0.007149240
01017,36863,0.363594328,0.379286214,0.418478261,0.365598984
01017,36850,0.009247842,0.005598321,0.005434783,0.008936550
01019,35967,0.012189243,0.005555556,0.000000000,0.011670407
01019,35961,0.019351284,0.011111111,0.000000000,0.018659827
01019,35973,0.110529578,0.026666667,0.022988506,0.104713049
01019,36272,0.103023208,0.041111111,0.034482759,0.098685476
01019,35984,0.011707183,0.000000000,0.011494253,0.011029176
01019,35903,0.003236692,0.001111111,0.000000000,0.003077910
01019,35959,0.199779630,0.077777778,0.224137931,0.193010580
01019,35901,0.002892363,0.003333333,0.000000000,0.002885540
01019,35960,0.393154741,0.722222222,0.580459770,0.414235332
01019,36275,0.000000000,0.001111111,0.000000000,0.000064123
01019,35983,0.144136079,0.110000000,0.126436782,0.141968580
01021,35171,0.068266410,0.037845706,0.055555556,0.066458940
01021,36758,0.011034724,0.005094614,0.000000000,0.010618671
01021,35115,0.056093182,0.004366812,0.050000000,0.053134353
01021,36793,0.005079476,0.001455604,0.011111111,0.004919847
01021,35046,0.131978806,0.063318777,0.038888889,0.127424050
01021,36750,0.063975128,0.040029112,0.066666667,0.062646058
01021,36091,0.086088365,0.040756914,0.050000000,0.083268419
01021,36790,0.005517362,0.000727802,0.000000000,0.005206839
01021,36792,0.010990936,0.004366812,0.000000000,0.010536673
01021,35085,0.191005824,0.098253275,0.094444444,0.185068263
01021,36006,0.009020449,0.005094614,0.022222222,0.008896724
01021,35040,0.021806717,0.005094614,0.033333333,0.020950351
01021,35045,0.327494855,0.691411936,0.577777778,0.349842155
01021,36051,0.011647765,0.002183406,0.000000000,0.011028658
01023,36558,0.015943791,0.008456660,0.000000000,0.015429366
01023,36904,0.309282529,0.674418605,0.848484848,0.333375490
01023,36921,0.086880151,0.031712474,0.000000000,0.083217402
01023,36916,0.043102283,0.035940803,0.000000000,0.042493993
01023,36910,0.004999324,0.004228330,0.000000000,0.004932338
01023,36908,0.150655317,0.122621564,0.060606061,0.148602504
01023,36919,0.142683421,0.082452431,0.000000000,0.138484887
01023,36922,0.047020673,0.006342495,0.000000000,0.044391046
01023,36915,0.053506283,0.014799154,0.060606061,0.051220438
01023,36913,0.003513039,0.006342495,0.000000000,0.003667636
01023,36912,0.142413187,0.012684989,0.030303030,0.134184899
01025,36524,0.048430955,0.021434460,0.014285714,0.045629139
01025,36540,0.036672301,0.004946414,0.000000000,0.033443709
01025,36727,0.008818990,0.000000000,0.007142857,0.008079470
01025,36784,0.282869111,0.402308326,0.342857143,0.293576159
01025,36751,0.005879327,0.000824402,0.000000000,0.005364238
01025,36451,0.184757845,0.120362737,0.242857143,0.180662252
01025,36436,0.020577644,0.005770816,0.003571429,0.019072848
01025,36482,0.046299699,0.009892828,0.003571429,0.042582781
01025,36446,0.000000000,0.000824402,0.000000000,0.000066225
01025,36545,0.365694128,0.433635614,0.385714286,0.371523179
01027,36256,0.003925313,0.002923977,0.000000000,0.003797721
01027,36268,0.003182686,0.000000000,0.000000000,0.002998201
01027,36251,0.361340972,0.406432749,0.773109244,0.372676394
01027,36266,0.320496499,0.365497076,0.214285714,0.319508295
01027,36255,0.072353066,0.035087719,0.000000000,0.069358385
01027,36276,0.014958625,0.017543860,0.000000000,0.014691185
01027,36267,0.000000000,0.002923977,0.000000000,0.000099940
01027,35089,0.000318269,0.005847953,0.000000000,0.000499700
