Country,Dwellings without basic facilities as pct,Housing expenditure as pct,Rooms per person as rat,Household net adjusted disposable income in usd,Household net financial wealth in usd,Labour market insecurity as pct,Employment rate as pct,Long-term unemployment rate as pct,Personal earnings in usd,Quality of support network as pct,Educational attainment as pct,Student skills as avg score,Years in education in yrs,Air pollution in ugm3,Water quality as pct,Stakeholder engagement for developing regulations as avg score,Voter turnout as pct,Life expectancy in yrs,Self-reported health as pct,Life satisfaction as avg score,Feeling safe walking alone at night as pct,Homicide rate as rat,Employees working very long hours as pct,Time devoted to leisure and personal care in hrs
Australia,1.1,20,2.3,33417,57462,4.3,72,1.36,52063,94,80,502,21.2,5,92,2.7,91,82.5,85,7.3,63.6,1,13.2,14.35
Austria,1,21,1.6,32544,59574,2.7,72,1.94,48295,92,85,492,17.1,16,93,1.3,75,81.3,70,7,80.7,0.4,6.78,14.55
Belgium,2.3,21,2.2,29968,104084,4.8,62,3.98,49587,92,75,503,18.2,15,84,2.2,89,81.1,75,6.9,70.7,1,4.31,15.77
Canada,0.2,22,2.5,29850,85758,3.9,73,0.81,48403,93,91,523,16.7,7,91,3,68,81.5,88,7.3,80.9,1.4,3.73,14.41
Chile,9.4,18,1.9,16588,21409,8.1,62,2.02,28434,84,65,443,17.3,16,69,1.5,49,79.1,57,6.7,51.1,4.5,10.06,14.9
Czech Republic,0.6,24,1.4,21103,24258,1.8,72,1.71,23722,89,93,491,17.3,20,87,2.6,59,78.7,61,6.6,68.3,0.8,5.77,15.06
Denmark,0.6,24,1.9,28950,73543,2.3,75,1.35,52580,95,81,504,19.7,9,94,2.1,86,80.8,72,7.5,83,0.7,2.2,15.87
Estonia,6.9,18,1.6,18665,16967,4,72,2.13,23621,90,89,524,15.8,8,82,2.8,64,77.7,51,5.6,67.2,3.1,2.69,14.9
Finland,0.5,23,1.9,29374,27972,2.7,69,2.33,42127,95,88,523,19.8,6,94,2.3,69,81.6,70,7.5,82.9,1.4,3.91,15.17
France,0.5,21,1.8,31137,59479,5,65,4.33,42992,88,78,496,16.5,13,82,2.1,75,82.4,68,6.4,69.6,0.6,7.76,16.36
Germany,0.1,20,1.8,33652,57358,2,75,1.68,46389,92,86,508,18.3,14,93,2.1,72,80.7,65,7,75.9,0.4,4.6,15.55
Greece,0.5,24,1.2,17002,18117,17.4,52,16.95,25124,82,72,458,16.9,18,69,1.9,64,81.1,74,5.2,61.8,1,7.3,14.67
Hungary,4.3,18,1.2,16821,23289,4.8,67,2.42,21711,84,83,474,16.6,19,76,1.2,62,75.7,56,5.3,50.7,1.2,3.05,15.06
Iceland,0,24,1.6,30453,64398,2.6,86,0.26,55984,98,78,481,19.3,3,99,1.6,79,82.5,76,7.5,87,0.9,15.06,14.15
Ireland,0.1,21,2.1,25439,43493,2.1,65,4.72,51681,96,80,509,18.7,7,82,0.8,65,81.5,82,7,75.5,0.6,4.66,15.28
Israel,4.4,20,1.2,24036,61805,2.6,69,0.46,34023,87,87,472,15.8,21,67,0.9,72,82.1,84,7.2,70.2,1.7,15.04,13.93
Italy,0.6,23,1.4,26063,64019,8.1,57,6.82,35397,91,60,485,16.4,18,71,1.5,75,82.6,66,5.9,58.3,0.8,3.9,14.89
Japan,6.4,22,1.9,28641,97595,1.5,74,1.24,39113,90,94,529,16.4,14,86,1.3,53,83.9,35,5.9,70.6,0.3,21.81,14.85
South Korea,4.2,15,1.4,21723,33495,2.4,66,0.03,32399,76,87,519,17.4,28,78,2.4,77,82.1,33,5.9,63.9,1.1,20.84,14.7
Latvia,12.9,23,1.2,15269,17105,6.8,69,3.73,22389,86,89,487,17.9,11,77,2.4,59,74.6,46,5.9,60.7,6.6,2.09,13.83
Luxembourg,0,20,2,41317,74141,3.2,66,1.9,62636,92,79,483,15.1,12,85,1.5,91,82.4,70,6.9,72,0.6,3.76,15.15
Mexico,4.2,21,1,13891,4750,4.6,61,0.08,15311,80,37,416,14.8,16,67,3.5,63,75,66,6.6,45.9,17.9,29.48,12.74
Netherlands,0,20,1.9,28783,90002,2.1,75,2.56,52833,90,77,508,18.7,14,93,1.3,82,81.6,76,7.4,81.2,0.6,0.45,15.9
New Zealand,0.3,26,2.4,24366,52718,4.9,76,0.72,39397,95,77,506,17.8,5,90,2.5,77,81.7,88,7.3,64.8,1.3,15.02,14.87
Norway,0,17,2.1,35739,20347,2.7,74,0.59,53643,94,82,504,18.1,5,96,1.9,78,82.4,78,7.5,87.7,0.6,3.17,15.56
Poland,2.7,23,1.1,18906,14997,4.3,65,2.14,25921,89,91,504,17.7,22,80,2.6,55,77.6,58,6,66.3,0.8,6.68,14.42
Portugal,1,21,1.7,20519,31877,6.5,65,6.14,24529,87,47,497,17.1,10,87,1.2,56,81.2,46,5.2,72.1,1,8.2,14.89
Slovak Republic,1.4,24,1.1,20265,10846,6.7,65,5.46,23508,91,92,463,15.9,21,82,2.9,60,76.7,66,6.1,60.1,0.8,5.04,15.01
Slovenia,0.3,18,1.5,20505,20048,4,66,4.26,34965,91,87,509,18.1,16,89,2.8,52,80.9,65,5.8,84.7,0.6,4.46,14.75
Spain,0.1,22,1.9,23129,35443,17.3,60,9.49,37333,95,58,491,17.9,11,73,1.6,70,83,72,6.4,83.1,0.6,4.55,15.93
Sweden,0,20,1.8,30553,90708,5.7,76,1.17,42816,92,83,496,19.2,6,95,2,86,82.3,80,7.3,75.9,1,1.11,15.18
Switzerland,0,21,1.9,36378,128415,1.8,80,1.94,60124,94,87,506,17.5,15,96,2.6,49,83,80,7.5,84,0.5,6.91,15.02
Turkey,6.5,20,1,17067,4429,13,51,2.24,22848,86,39,425,17.9,20,63,2.1,85,78,66,5.5,60.6,1.7,33.77,12.59
United Kingdom,0.4,24,2,28408,83405,2.6,74,1.32,42835,93,81,500,16.8,11,85,2.9,69,81,70,6.7,77.4,0.2,12.68,14.92
USA,0.1,18,2.4,44049,176076,3.8,69,0.65,60154,90,90,488,17.1,10,84,3.2,68,78.8,88,6.9,74.1,4.9,11.45,14.44
OECD - Total,2.1,20,1.8,30563,90570,4.9,67,2.04,44290,89,74,486,17,14,81,2.4,69,80.1,69,6.5,68.6,3.6,12.62,14.9
Brazil,6.7,20,0.8,12227,7102,4.9,64,3.37,14024,90,49,395,15.9,10,72,2.2,79,74.7,70,6.6,37.3,27.6,7.15,14.45
Russia,13.8,19,1,16657,2260,3.6,70,1.64,22101,90,95,492,16.1,15,54,0.8,65,71.3,43,6,52.2,11.3,0.16,14.9
South Africa,37,18,0.7,10872,17042,26.5,43,15.57,11554,88,43,391,15.3,22,69,1.6,73,57.4,67,4.8,36.1,10,18.68,14.73
